label,notation
NWS-NDBC-WB,NWSNDBCWB
NZ-TSU,NZTSU
NorGliders - Nansen Legacy,NansenLegacyGlider
US NAVY glider program,NavoceanGlider
NEW ZEALAND DB,NewZealandDB
NorGlider - NorEMSO,NorEMSOGlider
NorGliders - other,NorwayGlider
NORWAY-IMR,NorwayIMR
ODYSSEA H2020 Glider program,ODYSSEAGlider
OGS glider program,OGSGlider
OOI - Coastal and Global Scale Nodes,OOICGSNGlider
OOI - Coastal Endurance Array,OOIEnduranceGlider
OOI-MB,OOIMB
OS-AWI,OSAWI
OS-BAS,OSBAS
OS-BCCR,OSBCCR
OS-BIOS,OSBIOS
OS-CNR,OSCNR
OS-CNRS,OSCNRS
OS-CENTRE D'OCEANOLOGIE DE MARSEILLE,OSCOM
OS-CSIRO,OSCSIRO
OS-DFO,OSDFO
OS-DML,OSDML
OS-EU-THOR,OSEUTHOR
OS-FSC,OSFSC
OS-GEOMAR,OSGEOMAR
OS-HAV,OSHAV
OS-HELLENIC CENTRE FOR MARINE RESEARCH,OSHCMR
OS-ICCM - ACIISI - GOBIERNO DE CANARIAS,OSICCMCanarias
OS-IEO,OSIEO
OS-IFREMER,OSIFREMER
OS-IMARPE,OSIMARPE
OS-INSTITUTE OF MARINE RESEARCH,OSIMR
OS-IO-NTU,OSIONTU
OS-IO-WARNEMUENDE,OSIOwarnemuende
OS-IRD,OSIRD
OS-ICELAND,OSIceland
OS-JAMSTEC,OSJAMSTEC
OS-JMA/JAMSTEC,OSJMAJAMSTEC
OS-KIOST,OSKIOST
OS-KNMI,OSKNMI
OS-KORS Pilot,OSKORSPilot
OS-LDEO,OSLDEO
OS-MARUM,OSMARUM
OS-MBARI,OSMBARI
OS-MBL,OSMBL
OS-MNR,OSMNR
OS-MSS,OSMSS
Overturning in the Subpolar North Atlantic Program,OSNAPGlider
OS-NIO,OSNIO
OS-NIOT,OSNIOT
OS-ROYAL NETHERLANDS INSTITUTE FOR SEA RESEARCH (NIOZ),OSNIOZ
OS-NIWA,OSNIWA
OS-NOAA,OSNOAA
OS-NOAA/AOML,OSNOAA-AOML
OS-NOAA/PMEL,OSNOAA-PMEL
OS-NOAA/NDBC,OSNOAANDBC
OS-NOC,OSNOC
OS-OCEANOR,OSOCEANOR
OS-OGS,OSOGS
OS-SAM,OSSAM
OS-SAMS_DML,OSSAMSDML
OS-SIO,OSSIO
OS-SNU,OSSNU
OS-SOA,OSSOA
OS-UN_HAWAII_MANOA,OSUNhawaiiManoa
OS-UN_MIAMI,OSUNmiami
OS-USP,OSUSP
OS-UTokyo,OSUTokyo
OS-UW,OSUW
OS-WHOI,OSWHOI
OS-WHOI/SIO/OSU,OSWHOI-SIO-OSU
OS-HAMBURG UNIVERSITY,OShamburgUniversity
NorGliders - OVENS,OVENSGlider
PHOTONS,PHOTONS
Macaronesian Marine and Maritime Observation Network,PLOCANGlider
PMEL MB,PMELMB
Polar Glider,PolarGlider
PORTUGAL-MB,PortugalMB
NorGliders - ProVoLo,ProVoLoGlider
Real-Time Aquatic Ecosystem Observation Network Glider program,RAEONGlider
RBCN,RBCN
RBON,RBON
RBON-Pilot Project,RBONpilot
RBSN,RBSN
RBSN(P),RBSNp
RBSN(S),RBSNs
RBSN(SP),RBSNsp
RBSN(ST),RBSNst
