label,notation
ARGOS DOPPLER,argosDoppler
ARGOS Kalman,argosKalman
GALILEO,galileo
GLONASS,glonass
GPS,gps
inapplicable,inapplicable
IRIDIUM DOPPLER,iridiumDoppler
LORAN,loran
From map,map
Survey,survey
unknown,unknown
